shipment_id,supplier,product,country,shipment_mode,scheduled_delivery_date,predicted_severe_delay_probability,risk_rank,review_flag,total_value_usd,top_prediction_contributors
ASN-31603,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Rwanda,Air,2015-05-04,0.046153846153846156,936,0,248814.0,Not computed
ASN-31572,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Haiti,Air,2015-05-11,0.046153846153846156,937,0,332111.99,Not computed
ASN-31164,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",Zambia,Air,2015-05-12,0.046153846153846156,938,0,502400.0,Not computed
ASN-31165,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",Zambia,Air,2015-05-12,0.046153846153846156,939,0,443040.0,Not computed
ASN-31132,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",Zimbabwe,Air,2015-05-14,0.046153846153846156,940,0,177500.0,Not computed
ASN-31929,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Sierra Leone,Air,2015-05-20,0.046153846153846156,941,0,12800.0,Not computed
ASN-31105,CIPLA LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Haiti,Ocean,2015-05-25,0.046153846153846156,942,0,140321.16,Not computed
ASN-31106,CIPLA LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Haiti,Ocean,2015-05-25,0.046153846153846156,943,0,68697.72,Not computed
ASN-32047,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Uganda,Air,2015-05-26,0.046153846153846156,944,0,18000.0,Not computed
ASN-32156,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Rwanda,Air,2015-05-27,0.046153846153846156,945,0,144000.0,Not computed
ASN-32057,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Haiti,Air,2015-05-28,0.046153846153846156,946,0,18000.0,Not computed
DN-4236,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Mozambique,Truck,2015-05-29,0.046153846153846156,947,0,73467.54,Not computed
DN-4256,SCMS from RDC,"Nevirapine 200mg, tablets, 60 Tabs",Zambia,Truck,2015-05-29,0.046153846153846156,948,0,8558.68,Not computed
ASN-32010,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Nigeria,Air,2015-06-02,0.046153846153846156,949,0,24316.98,Not computed
ASN-32118,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Nigeria,Air,2015-06-02,0.046153846153846156,950,0,192906.0,Not computed
ASN-31321,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",South Sudan,Air,2015-06-03,0.046153846153846156,951,0,8595.0,Not computed
ASN-31323,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",South Sudan,Air,2015-06-03,0.046153846153846156,952,0,6490.0,Not computed
ASN-31331,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",South Sudan,Air,2015-06-03,0.046153846153846156,953,0,9550.0,Not computed
ASN-32234,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests",Nigeria,Air,2015-06-12,0.046153846153846156,954,0,399520.0,Not computed
ASN-32534,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Uganda,Air,2015-06-15,0.046153846153846156,955,0,166230.0,Not computed
ASN-31730,HETERO LABS LIMITED,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Guyana,Air,2015-06-16,0.046153846153846156,956,0,20766.85,Not computed
ASN-32540,HETERO LABS LIMITED,"Lamivudine 300mg, tablets, 30 Tabs",Cameroon,Air,2015-06-16,0.046153846153846156,957,0,2160.0,Not computed
DN-4211,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Côte d'Ivoire,Truck,2015-06-19,0.046153846153846156,958,0,37867.5,Not computed
DN-4230,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",Nigeria,Air Charter,2015-06-30,0.046153846153846156,959,0,3283.2,Not computed
ASN-32716,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 100/25mg [Aluvia], tablets, 60 Tabs",Haiti,Air,2015-07-07,0.046153846153846156,960,0,127763.68,Not computed
DN-4283,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs","Congo, DRC",Air,2015-07-08,0.046153846153846156,961,0,689092.0,Not computed
ASN-33116,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Cameroon,Air,2015-07-18,0.046153846153846156,962,0,138606.0,Not computed
ASN-32854,EMCURE PHARMACEUTICALS LTD,"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Haiti,Air,2015-07-21,0.046153846153846156,963,0,144000.0,Not computed
ASN-32231,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","Congo, DRC",Air,2015-07-23,0.046153846153846156,964,0,260720.0,Not computed
ASN-33189,Orasure Technologies Inc.,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",Cameroon,Air,2015-07-23,0.046153846153846156,965,0,8750.0,Not computed
ASN-33470,PHARMACY DIRECT,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",South Africa,Truck,2015-07-24,0.046153846153846156,966,0,5868.610000000001,Not computed
ASN-33477,PHARMACY DIRECT,"Didanosine 250mg, delayed-release capsules, 30 Caps",South Africa,Truck,2015-07-24,0.046153846153846156,967,0,4365.38,Not computed
DN-4287,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",South Sudan,Air,2015-07-28,0.046153846153846156,968,0,541440.0,Not computed
DN-4310,SCMS from RDC,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Uganda,Truck,2015-07-31,0.046153846153846156,969,0,1543196.07,Not computed
DN-4313,SCMS from RDC,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Côte d'Ivoire,Truck,2015-07-31,0.046153846153846156,970,0,291985.0,Not computed
ASN-33458,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",Burkina Faso,Air,2015-08-04,0.046153846153846156,971,0,171.25,Not computed
ASN-33362,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",Zambia,Air,2015-08-06,0.046153846153846156,972,0,42400.0,Not computed
ASN-33289,HETERO LABS LIMITED,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Haiti,Air,2015-08-10,0.046153846153846156,973,0,3506.76,Not computed
DN-4315,SCMS from RDC,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Zambia,Truck,2015-08-15,0.046153846153846156,974,0,2162216.85,Not computed
DN-4328,SCMS from RDC,"Abacavir 300mg, tablets, 60 Tabs",Zambia,Truck,2015-08-17,0.046153846153846156,975,0,1109000.0,Not computed
DN-4323,SCMS from RDC,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Rwanda,Air,2015-08-18,0.046153846153846156,976,0,1366.75,Not computed
DN-4327,SCMS from RDC,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Rwanda,Air,2015-08-18,0.046153846153846156,977,0,84968.47,Not computed
ASN-33357,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests",Tanzania,Air,2015-08-24,0.046153846153846156,978,0,152000.0,Not computed
