product_group,country,shipment_count,historical_shipped_quantity,quantity_variability,average_lead_time_days,p90_lead_time_days,lead_time_variability_days,severe_delay_rate,historical_safety_stock_scenario_units,risk_aware_replenishment_trigger
HRDT,Mozambique,78,317464,3365.0523003883586,101.93150684931507,167.39999999999998,49.959797383919735,0.038461538461538464,10106.027969764815,Standard historical variability
HRDT,Guyana,67,53562,930.540967197439,59.721311475409834,107.0,34.049048517073615,0.029850746268656716,1407.6184576981811,Standard historical variability
HRDT,Zimbabwe,42,177250,3475.516910559712,136.08823529411765,261.09999999999997,93.9104562697437,0.023809523809523808,7736.0433878085405,Standard historical variability
HRDT,Zambia,103,391823,2479.81284442692,113.86206896551724,184.40000000000003,70.22226712603894,0.019417475728155338,14787.781551081098,Standard historical variability
HRDT,Botswana,65,13135,571.5914818429195,130.96610169491527,320.6,110.03384527932756,0.015384615384615385,620.5387405593843,Standard historical variability
HRDT,Haiti,98,79926,1375.860083392263,97.42105263157895,197.5,99.48564561890588,0.01020408163265306,3590.409362296431,Standard historical variability
HRDT,Tanzania,121,491224,4132.840108296449,107.91,182.50000000000006,65.98195269017188,0.008264462809917356,17970.817629124715,Standard historical variability
HRDT,Côte d'Ivoire,148,239375,1503.4204346301362,122.04201680672269,247.20000000000002,85.80806281087837,0.006756756756756757,9986.619835874164,Standard historical variability
ARV,Vietnam,480,7104544,18006.83811908419,125.84221748400853,175.2,45.28377579915143,0.004166666666666667,215319.4202118289,Standard historical variability
HRDT,Ethiopia,73,217188,4498.248407073042,81.87323943661971,190.0,54.73022919673884,0.0,7236.442859845103,Standard historical variability
HRDT,Namibia,60,26964,912.7080807563644,64.09803921568627,113.0,37.00067831916641,0.0,738.6944551454218,Standard historical variability
HRDT,South Sudan,48,19650,293.81660403814936,117.75,172.9,42.01392879469805,0.0,573.633993825175,Standard historical variability
HRDT,Sudan,44,5565,277.9831422558489,105.81395348837209,158.00000000000003,40.656666889567006,0.0,159.811023192222,Standard historical variability
HRDT,Uganda,39,99700,2097.6338890577676,89.66666666666667,152.0,56.66723425928329,0.0,3380.156779512856,Standard historical variability
HRDT,Burundi,26,29896,826.6520279928038,100.1923076923077,161.0,62.47368676860314,0.0,1064.234492115741,Standard historical variability
HRDT,"Congo, DRC",23,45607,2403.518971558227,165.14285714285714,247.0,74.80660780591893,0.0,1776.548891700144,Standard historical variability
HRDT,Cameroon,19,20895,1842.7564450543848,78.55555555555556,151.10000000000014,81.34618991925242,0.0,848.7634341645504,Standard historical variability
ARV,Swaziland,15,512198,23970.11040819279,110.5,162.5,53.71840156470282,0.0,16907.332621474387,Standard historical variability
HRDT,Mali,15,1941,166.36697817947956,92.13333333333334,179.8,52.92564415785422,0.0,63.596657300812055,Standard historical variability
HRDT,Dominican Republic,12,14864,1014.7722837557143,90.66666666666667,198.30000000000004,78.40029375331486,0.0,592.7481665061977,Standard historical variability
HRDT,Swaziland,12,3356,321.18992776388507,119.75,250.6,88.78382838005005,0.0,142.41789546207718,Standard historical variability
ACT,Nigeria,11,14286,1132.3059737464155,99.0909090909091,200.0,58.75790082270561,0.0,493.1959020412768,Standard historical variability
HRDT,Malawi,10,1640,139.32615611498719,86.0,202.0,62.191460649978126,0.0,58.24852121590178,Standard historical variability
HRDT,Pakistan,9,18106,2060.9402452386735,292.6,540.4,221.34091352481585,0.0,1213.1906169594,Standard historical variability
ANTM,"Congo, DRC",6,4757,357.6928384335737,138.83333333333334,180.5,46.72222882811421,0.0,146.44367034470346,Standard historical variability
HRDT,Liberia,6,1455,289.27063452759944,53.0,68.5,16.516658257650064,0.0,26.63175350631371,Standard historical variability
ANTM,Nigeria,5,1827,488.07356002963326,59.0,85.2,26.04803255526221,0.0,41.995396695280895,Standard historical variability
MRDT,Guyana,5,812,127.30593073380359,76.6,126.8,49.21686702747343,0.0,25.655984776032934,Standard historical variability
ARV,Libya,4,27251,4647.146750067903,,,,0.0,,Standard historical variability
