repository_id,language,language_bytes,language_percentage,source
5084133,Python,,,repository_primary_language_from_html
5104479,Jupyter Notebook,,,repository_primary_language_from_html
4414429,HTML,,,repository_primary_language_from_html
5099351,Julia,,,repository_primary_language_from_html
5023122,Makefile,,,repository_primary_language_from_html
1109924834,Rust,,,repository_primary_language_from_html
3659275,Python,,,repository_primary_language_from_html
390115983,Python,,,repository_primary_language_from_html
4912250,Python,,,repository_primary_language_from_html
10221246,R,,,repository_primary_language_from_html
62938649,R,,,repository_primary_language_from_html
22881786,C,,,repository_primary_language_from_html
25672078,R,,,repository_primary_language_from_html
171599768,JavaScript,,,repository_primary_language_from_html
6427813,R,,,repository_primary_language_from_html
92283359,R,,,repository_primary_language_from_html
30433442,C++,,,repository_primary_language_from_html
4885723,Python,,,repository_primary_language_from_html
44436401,C++,,,repository_primary_language_from_html
49573605,R,,,repository_primary_language_from_html
22565116,JavaScript,,,repository_primary_language_from_html
42454583,C++,,,repository_primary_language_from_html
75495288,R,,,repository_primary_language_from_html
5128518,C,,,repository_primary_language_from_html
50872540,R,,,repository_primary_language_from_html
3723845,R,,,repository_primary_language_from_html
3116998,C++,,,repository_primary_language_from_html
2788278,TeX,,,repository_primary_language_from_html
2876618,R,,,repository_primary_language_from_html
2756403,R,,,repository_primary_language_from_html
5195807,JavaScript,,,repository_primary_language_from_html
2562848,TeX,,,repository_primary_language_from_html
3075216,R,,,repository_primary_language_from_html
2875716,R,,,repository_primary_language_from_html
2609997,R,,,repository_primary_language_from_html
2117834,R,,,repository_primary_language_from_html
