date,open,high,low,close,volume,source,ingested_at_utc,market_quality_flag,missing_calendar_days_before,daily_return,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_7,rolling_mean_7,rolling_volatility_7,ma_ratio_7,rolling_mean_14,rolling_volatility_14,ma_ratio_14,rolling_mean_30,rolling_volatility_30,ma_ratio_30,volume_change,volume_zscore_30,momentum_7,momentum_30,rsi_14,macd,bollinger_position,high_low_range,open_close_spread,rolling_skew_30,rolling_kurtosis_30,drawdown,volatility_regime,previous_direction,ma_signal,next_day_return,target,sentiment_mean,sentiment_median,max_positive_sentiment,max_negative_sentiment,positive_count,negative_count,neutral_count,article_volume,sentiment_dispersion,positive_news_ratio,negative_news_ratio,sentiment_momentum,sentiment_rolling_7,sentiment_surprise,abnormal_news_volume,extreme_negative_news,sentiment_volume_interaction,feature_timestamp,target_timestamp
2025-05-17 00:00:00+00:00,103489.2890625,103716.9453125,102659.1796875,103191.0859375,37898552742,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.0028814878109744146,-0.0028856472892222484,-0.0024613470244020386,0.00198211052629782,-0.006051642240404331,0.016756941758927724,0.0007663544660884147,0.010673725546881991,-0.005809846815778341,0.004887971242821484,0.02025239392148715,0.023458746396707753,0.007138287020680234,0.019178372756964903,0.07500223727201383,-0.14616936940204162,0.08298507069025948,-0.014377220428426596,0.21550355509551422,68.43241113640343,3851.677377746426,0.4724634877630271,0.01022101547495593,-0.0028814878109743995,1.9910904694995386,4.493159788726536,-0.027840637351673192,0,0,1,0.03154266519659865,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-17 23:59:00+00:00,2025-05-18 23:59:00+00:00
2025-05-18 00:00:00+00:00,103186.953125,106597.171875,103142.6015625,106446.0078125,49887082058,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.03154266519659865,0.031055414958407468,-0.0028814878109744146,-0.0024613470244020386,0.00198211052629782,-0.005635047193781384,-0.0020391354724690336,0.008021668124959535,0.02767864507422435,0.005432679672540146,0.01990606001892582,0.05031013239376958,0.0067003582770041965,0.019254564561525158,0.10191011764268731,0.3163321142528499,0.747351716248141,0.022473636111626893,0.2604498939517579,71.30954721468677,3686.166971152503,0.8137434435534978,0.03347875102305963,0.03158398023005876,2.035303115980607,4.5818104398762305,0.0,0,1,1,-0.007889709931436006,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-18 23:59:00+00:00,2025-05-19 23:59:00+00:00
2025-05-19 00:00:00+00:00,106430.53125,107068.71875,102112.6875,105606.1796875,61761126647,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.007889709931436006,-0.007920998372647148,0.03154266519659865,-0.0028814878109744146,-0.0024613470244020386,-0.01242389281274392,0.003271966297585257,0.014739036026983794,0.01629112650020681,0.008859535556205247,0.01998166213091149,0.0331906064555183,0.00792648307569912,0.019635339596461018,0.08498170158338691,0.23801842278918883,1.4029570930171646,0.027168041356656625,0.24149942547457925,82.25058949233036,3774.137862326461,0.6284718815087051,0.04656587909308214,-0.00774544252310119,1.8013230936983229,3.5426628929321105,-0.007889709931436006,0,0,1,0.011220046530480143,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-19 23:59:00+00:00,2025-05-20 23:59:00+00:00
2025-05-20 00:00:00+00:00,105605.40625,107307.1171875,104206.515625,106791.0859375,36515726122,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.011220046530480143,0.011157568710077115,-0.007889709931436006,0.03154266519659865,-0.0028814878109744146,0.013197358248725033,0.003919706709200673,0.014016187948063688,0.023762660013314507,0.00796875796183811,0.020459326932330216,0.036915111640897225,0.007421691466669796,0.01984674524974621,0.08949056352521434,-0.40875874349397534,-0.19593522557945986,0.025163465063354984,0.25379463124836565,78.25626954786391,3733.0559709405206,0.7109872958694988,0.02936025410630907,0.011227452548150205,1.8074465052633264,3.477635863463779,0.0,0,1,1,0.027034018449719976,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-20 23:59:00+00:00,2025-05-21 23:59:00+00:00
2025-05-21 00:00:00+00:00,106791.3125,110724.4609375,106127.234375,109678.078125,78086364051,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.027034018449719976,0.02667505449687546,0.011220046530480143,-0.007889709931436006,0.03154266519659865,-0.006051642240404331,0.0036372336065942606,0.013816552594708771,0.04767805196507369,0.007221404289434075,0.020107908384347322,0.057620283283519536,0.0077522389169139855,0.019823901025718266,0.11077831786086478,1.1384310910348985,2.3411625379848577,0.05928818622437326,0.25319297080452263,77.22561274248845,3752.849791410903,0.9950113849559586,0.04304869426995759,0.027031839551555283,1.7614473552960066,3.371835639933093,0.0,0,1,1,0.018191448638679386,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-21 23:59:00+00:00,2025-05-22 23:59:00+00:00
2025-05-22 00:00:00+00:00,109673.4921875,111970.171875,109285.0703125,111673.28125,70157575642,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.018191448638679386,0.018027963942364167,0.027034018449719976,0.011220046530480143,-0.007889709931436006,0.00198211052629782,0.008363756562326305,0.015505578806103159,0.057875109022152316,0.008982808595941805,0.020721363792638364,0.0675612852299563,0.007735802880916927,0.01980713761096174,0.1225872923273692,-0.10153870660210951,1.6281845930426537,0.07642458036612432,0.19510939368902558,80.1070990805996,3955.891622504103,1.0952286007779175,0.02448268500386125,0.018234023761011645,1.765908467795741,3.3972531006893916,0.0,0,1,1,-0.03927066820202352,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-22 23:59:00+00:00,2025-05-23 23:59:00+00:00
2025-05-23 00:00:00+00:00,111679.359375,111798.90625,106841.3046875,107287.796875,67548133399,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.03927066820202352,-0.04006256233899386,0.018191448638679386,0.027034018449719976,0.011220046530480143,-0.0024613470244020386,0.010679376292666529,0.015603745848050512,0.005542520862525935,0.0057114522512347055,0.01384254570729028,0.01976609770735993,0.006086296935055568,0.016412936806994013,0.07195398349788062,-0.03719401959263047,1.4044923653852808,0.036704357010376,0.14502472425448287,75.11361092638106,4229.050097035768,0.4792606724351854,0.044391386109703855,-0.03932295568829233,1.637781719020136,4.089097280934893,-0.03927066820202352,0,0,1,0.004691674073487251,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-23 23:59:00+00:00,2025-05-24 23:59:00+00:00
2025-05-24 00:00:00+00:00,107278.5078125,109454.5234375,106895.2890625,107791.15625,45903627163,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.004691674073487251,0.004680702474075815,-0.03927066820202352,0.018191448638679386,0.027034018449719976,-0.0028814878109744146,0.005420901838720603,0.024459588329833196,0.00514814768945504,0.003093628152404509,0.0182904475052389,0.02155644358070452,0.004685517546339746,0.018382362578506714,0.07213113954108241,-0.32043085644051905,0.15173491622123192,0.04457817524360719,0.14740046533806872,60.32652023838669,4045.029634380684,0.4915824161383117,0.023855984084649992,0.004778668607098827,0.8564114289733317,3.2115000689047424,-0.03476323930438818,0,1,1,0.011543009819045436,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-24 23:59:00+00:00,2025-05-25 23:59:00+00:00
2025-05-25 00:00:00+00:00,107802.2734375,109313.3046875,106683.375,109035.390625,47518041841,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.011543009819045436,0.011476897551185417,0.004691674073487251,-0.03927066820202352,0.018191448638679386,0.03154266519659865,0.006502782107929412,0.02419723679957891,0.010557960169627734,0.0022318233177301893,0.017876705545910497,0.0311879224922591,0.00475485942997261,0.01837819197077606,0.0795505069672453,0.035169653854745464,0.21405528821706477,0.0243257860554158,0.15112769279089533,57.862832634790685,3894.9108786323195,0.6113841078828995,0.024395864796160738,0.011438693713773285,0.8449199817918214,3.2026938262326414,-0.023621501897975294,0,1,1,0.003714175371671846,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-25 23:59:00+00:00,2025-05-26 23:59:00+00:00
2025-05-26 00:00:00+00:00,109023.78125,110376.8828125,108735.640625,109440.3671875,45950461571,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.003714175371671846,0.0037072948540295414,0.011543009819045436,0.004691674073487251,-0.03927066820202352,-0.007889709931436006,0.003645688482564667,0.021810948606935745,0.010845762230680345,0.003458827390074962,0.017884735244132092,0.03158308286359901,0.004864035006222004,0.018409481554587267,0.0784650979790309,-0.03298915968055405,0.1173492105119354,0.03630646910385149,0.1563012931200638,62.119947748578454,3832.1651839162805,0.6485780525669785,0.015053983348243115,0.003821055669906881,0.8231524056235724,3.1363933968708526,-0.019995060926894737,0,1,1,-0.004072780217708405,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-26 23:59:00+00:00,2025-05-27 23:59:00+00:00
2025-05-27 00:00:00+00:00,109440.40625,110744.2109375,107609.5546875,108994.640625,57450176272,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.004072780217708405,-0.004081096575204057,0.003714175371671846,0.011543009819045436,0.004691674073487251,0.011220046530480143,0.005303386383008646,0.02122109175791328,0.0016611958107202174,0.00461154654610466,0.017292574113225802,0.022817720587165136,0.005013731168718487,0.018380267935909,0.0688787121923855,0.2502633120068076,0.7137595288610036,0.020634256765491132,0.16254943494586116,67.04060655318168,3771.639876131172,0.5565226405574822,0.02864258601927476,-0.004073135693426759,0.8019634198136831,3.1467870515393104,-0.02398640565600829,0,0,1,-0.010939184653144474,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-27 23:59:00+00:00,2025-05-28 23:59:00+00:00
2025-05-28 00:00:00+00:00,108992.171875,109298.2890625,106812.9296875,107802.328125,49155377493,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.010939184653144474,-0.010999457493792164,-0.004072780217708405,0.003714175371671846,0.011543009819045436,0.027034018449719976,0.003118696847553139,0.021297511461225046,-0.012153953949205931,0.0033779652270737,0.01724891925612654,0.008367815380623034,0.005192152098051891,0.01826086276435343,0.051945529654336964,-0.14438247743101718,0.1809294622128998,-0.01710232374661247,0.13501523367068957,63.0155838506594,3645.681577283787,0.34098062324165396,0.022803099821245763,-0.010916781724146186,0.8001048472844625,3.267462650674505,-0.03466319858851641,0,0,1,-0.020041963379443528,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-28 23:59:00+00:00,2025-05-29 23:59:00+00:00
2025-05-29 00:00:00+00:00,107795.5703125,108910.046875,105374.3984375,105641.7578125,56022752042,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.020041963379443528,-0.020245528009255054,-0.010939184653144474,-0.004072780217708405,0.003714175371671846,0.018191448638679386,-0.002306046452856068,0.018890873071721343,-0.029569446415874223,0.0030288550547351183,0.01750205437278884,-0.014648326945369217,0.00439236842539659,0.018429297135855435,0.026580481596673478,0.13970749283693218,0.5528024414901472,-0.05401044341123451,0.12045388087437559,61.16137377929218,3410.3368237448594,-0.09691185914516424,0.03279957077317866,-0.019980528826519354,0.8903036833329613,3.216329608208634,-0.05401044341123451,0,0,1,-0.015554336978341854,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-29 23:59:00+00:00,2025-05-30 23:59:00+00:00
2025-05-30 00:00:00+00:00,105646.2109375,106308.9453125,103685.7890625,103998.5703125,57655287183,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.015554336978341854,-0.015676574887612205,-0.020041963379443528,-0.010939184653144474,-0.004072780217708405,-0.03927066820202352,-0.007767962455445056,0.017448869455904813,-0.03704191587311234,0.001455706918610736,0.018561135270288003,-0.031199311612235103,0.003967852523392083,0.018849949922742873,0.006908552642397536,0.02914057381144164,0.602984793970878,-0.030657974702679835,0.10393309768283654,54.50577344493657,3014.7324839494395,-0.44392698086246374,0.024829629257142518,-0.015595832641596011,0.8327829035825269,2.8464822773893537,-0.06872468375240837,0,0,0,0.006149348357177731,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-30 23:59:00+00:00,2025-05-31 23:59:00+00:00
2025-05-31 00:00:00+00:00,103994.71875,104927.1015625,103136.1171875,104638.09375,38997843858,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.006149348357177731,0.006130518270316188,-0.015554336978341854,-0.020041963379443528,-0.010939184653144474,0.004691674073487251,-0.004379915137776247,0.0116521341264395,-0.0268864640232237,0.0005204933504721779,0.019095827560201645,-0.025572025834388112,0.0034767655968150533,0.019168255500968734,0.009909124101709521,-0.32360333694602184,-0.5857295242247187,-0.029251588068014645,0.08441870261878792,51.13476688433135,2539.3496538083273,-0.3103936834765953,0.017221878154269253,0.006186612240825931,0.8358947499508008,2.5848343032725714,-0.06299794741636111,0,1,0,0.009690618169351017,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-05-31 23:59:00+00:00,2025-06-01 23:59:00+00:00
2025-06-01 00:00:00+00:00,104637.296875,105884.546875,103826.953125,105652.1015625,37397056873,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.009690618169351017,0.009643965283823164,0.006149348357177731,-0.015554336978341854,-0.020041963379443528,0.011543009819045436,-0.0041716759543918925,0.011852577020975918,-0.013323223532933803,0.0011655530767687597,0.019124578018216924,-0.017075285854250666,0.002873235003885055,0.018772418953715685,0.017030525470159708,-0.04104808950025107,-0.7031599666030509,-0.031029274468653778,0.09020766595060858,53.175877752960645,2188.976375591694,-0.12261709462638125,0.019664056808137993,0.009698307561521667,0.9432759510064311,3.168346771295112,-0.05391781830087494,0,1,0,0.0021715582000447764,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-06-01 23:59:00+00:00,2025-06-02 23:59:00+00:00
2025-06-02 00:00:00+00:00,105649.8125,105958.3125,103727.546875,105881.53125,45819706290,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.0021715582000447764,0.0021692037754323934,0.009690618169351017,0.006149348357177731,-0.015554336978341854,0.003714175371671846,-0.004436303332919667,0.011457334972977039,-0.006697073000686005,-0.00039530742517749983,0.017254972736696475,-0.014420841793541639,0.003051949027754667,0.018812235942325374,0.016388005645465276,0.2252222533340853,-0.21089978105458418,-0.0325184941256893,0.10417715279673123,48.06744359415174,1970.411309318355,-0.11113987396111025,0.02111471447239909,0.0021932717580544687,0.9085040578087198,3.073870083002266,-0.05186334578129004,0,1,0,-0.004241178746647534,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-06-02 23:59:00+00:00,2025-06-03 23:59:00+00:00
2025-06-03 00:00:00+00:00,105888.4765625,106813.578125,104920.84375,105432.46875,46196508367,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.004241178746647534,-0.004250198055929744,0.0021715582000447764,0.009690618169351017,0.006149348357177731,-0.004072780217708405,-0.004656677214580677,0.011288022608712443,-0.006169790620495497,0.0003233545842139846,0.01712787914688425,-0.01878049666283288,0.0034745811619906826,0.01863873132766965,0.008852545361894837,0.008223581238499422,-0.2727357635761314,-0.03268208284897034,0.11786435970509701,50.6907996733867,1795.018126376919,-0.2242156083996035,0.017874790878522326,-0.004306491388898624,0.8754360954227617,3.2091047728151865,-0.05588456280807996,0,0,0,-0.0066439151364365845,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-06-03 23:59:00+00:00,2025-06-04 23:59:00+00:00
2025-06-04 00:00:00+00:00,105434.3671875,105997.6953125,104232.703125,104731.984375,44544857105,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.0066439151364365845,-0.0066660841880299415,-0.004241178746647534,0.0021715582000447764,0.009690618169351017,-0.010939184653144474,-0.004680734147286266,0.01128675018632201,-0.008014324024217978,-0.0007810186498665637,0.01686771444712813,-0.024418537389923056,0.0038809857762595232,0.018319878456450847,-0.0013909359094198548,-0.03575272938116336,-0.4947800781177573,-0.028481237867514775,0.10537345300047796,46.46084138126968,1601.3231183586904,-0.4032897070713052,0.01674019804530351,-0.006661801376878492,0.8952795858080353,3.5242333368764167,-0.06215718565178274,0,0,0,-0.030134359325224014,0,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-06-04 23:59:00+00:00,2025-06-05 23:59:00+00:00
2025-06-05 00:00:00+00:00,104750.78125,105936.6875,100436.8828125,101575.953125,57479298400,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,-0.030134359325224014,-0.03059773184703829,-0.0066439151364365845,-0.004241178746647534,0.0021715582000447764,-0.020041963379443528,-0.004067124216327996,0.011002989256265238,-0.03389352197075168,-0.0031865853345920325,0.014880136553404958,-0.05069295763999904,0.003506816058721507,0.01841944590513727,-0.03454694873382702,0.29036890307025254,0.4653551817428286,-0.03848671937773185,0.04931151280430335,35.45913398818908,1375.4399782491382,-1.1172870491965081,0.05250371044368703,-0.030308395671273334,0.9392485090824859,3.466171590437888,-0.0904184780099313,0,0,0,0.027707252931573167,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-06-05 23:59:00+00:00,2025-06-06 23:59:00+00:00
2025-06-06 00:00:00+00:00,101574.3671875,105376.7734375,101169.5703125,104390.34375,48856653697,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.027707252931573167,0.02733035306446041,-0.030134359325224014,-0.0066439151364365845,-0.004241178746647534,-0.015554336978341854,-0.005508895065725209,0.013760747152079474,-0.0016098915755283771,-0.006638428760585132,0.015142373287173948,-0.017769510416103862,0.0017795708164094852,0.019074136167528434,-0.009295194375998461,-0.15001304718430597,-0.33801182802409946,0.003767104070015348,0.07583064502428605,22.211825655306228,931.0283017730108,-0.44385501056421073,0.04141992947131793,0.02772329910066662,0.9030406184971933,3.2695221063412006,-0.06521647271826714,0,1,0,0.011737496074678777,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-06-06 23:59:00+00:00,2025-06-07 23:59:00+00:00
2025-06-07 00:00:00+00:00,104390.6484375,105972.7578125,103987.3125,105615.625,38365033776,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.011737496074678777,0.011669145986994423,0.027707252931573167,-0.030134359325224014,-0.0066439151364365845,0.006149348357177731,0.0006713320642626515,0.017659672071378658,0.009568311813434205,-0.0018542915367567977,0.014610639769731985,-0.0043016220423586216,0.0026240006421748654,0.019653337455934533,5.503477339630081e-06,-0.21474290863363465,-1.273542422935546,0.009342020816391239,0.022996226912531448,41.27131018134542,796.7422996703826,-0.21231301583897183,0.019019379055670024,0.011734543092079833,0.7721651518565015,2.4869364027576104,-0.05424445473612338,0,1,0,0.0016855786016509722,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-06-07 23:59:00+00:00,2025-06-08 23:59:00+00:00
2025-06-08 00:00:00+00:00,105617.5078125,106497.0625,105075.328125,105793.6484375,36626232328,Yahoo Finance via yfinance,2026-07-31T20:37:44.569614+00:00,False,0.0,0.0016855786016509722,0.0016841596083665422,0.011737496074678777,0.027707252931573167,-0.030134359325224014,0.009690618169351017,0.0014696388810485153,0.01807011516747881,0.009921900464331612,-0.0013510185366716887,0.014970384561574667,-0.001159995942727643,0.0008822359291781989,0.016003836202616643,0.0009410724697893613,-0.04532255746605762,-1.3776723617853701,0.0013397450018186596,0.02741355278864188,43.719314706386506,780.1960182546754,-0.16537733860725118,0.013461161927092314,0.0016677218450628266,-0.2948714714910819,0.5078216058057672,-0.052650309426633735,0,1,0,0.04253991795791734,1,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,2025-06-08 23:59:00+00:00,2025-06-09 23:59:00+00:00
